	Similarity	Clost_cluster	CC_bs	Genus	Genus_bs	Species	Species_bs
Seq_0006241	0.65	NA	0.9	Unclassified	0.65	Unclassified	0.65
Seq_0004134	0.63	IV	0.92	Unclassified	0.65	Unclassified	0.6
Seq_0001053	0.48	NA	1	Unclassified	0.65	Unclassified	0.28
Seq_0000587	0.65	NA	1	Unclassified	0.65	Unclassified	0.65
Seq_0000390	0.72	IV	1	Unclassified	0.65	Unclassified	0.65
Seq_0004874	0.98	NA	1	Unclassified	0.65	Unclassified	0.65
Seq_0006098	0.72	Unclassified	0.66	Unclassified	0.66	Unclassified	0.66
Seq_0001446	0.81	Unclassified	0.78	Unclassified	0.66	Unclassified	0.47
Seq_0001069	0.51	III	0.84	Unclassified	0.66	Unclassified	0.66
Seq_0004873	0.61	IV	0.92	Unclassified	0.66	Unclassified	0.25
Seq_0004342	0.89	XIVa	1	Unclassified	0.66	Unclassified	0.66
Seq_0000823	1	NA	1	Unclassified	0.66	Unclassified	0.66
Seq_0000678	0.85	Unclassified	0.65	Unclassified	0.67	Unclassified	0.41
Seq_0001244	0.82	Unclassified	0.67	Unclassified	0.67	Unclassified	0.07
Seq_0006675	0.65	Unclassified	0.67	Unclassified	0.67	Unclassified	0.67
Seq_0000435	0.8	Unclassified	0.67	Unclassified	0.67	Unclassified	0.67
Seq_0003354	0.88	Unclassified	0.72	Unclassified	0.67	Unclassified	0.62
Seq_0003072	0.55	Unclassified	0.73	Unclassified	0.67	Unclassified	0.38
Seq_0004021	0.68	Unclassified	0.77	Unclassified	0.67	Unclassified	0.67
Seq_0005103	0.81	Unclassified	0.77	Unclassified	0.67	Unclassified	0.67
Seq_0004619	0.63	Unclassified	0.79	Unclassified	0.67	Unclassified	0.15
Seq_0004469	0.8	XIVa	0.84	Unclassified	0.67	Unclassified	0.18
Seq_0004362	0.77	XIVa	0.84	Unclassified	0.67	Unclassified	0.3
Seq_0006877	0.62	IV	0.84	Unclassified	0.67	Unclassified	0.56
Seq_0005395	0.57	NA	1	Unclassified	0.67	Unclassified	0.2
Seq_0006852	0.64	NA	1	Unclassified	0.67	Unclassified	0.39
Seq_0002815	0.51	NA	1	Unclassified	0.67	Unclassified	0.63
Seq_0009298	0.64	Unclassified	0.43	Unclassified	0.68	Unclassified	0.3
Seq_0006429	0.64	Unclassified	0.68	Unclassified	0.68	Unclassified	0.68
Seq_0005866	0.71	Unclassified	0.69	Unclassified	0.68	Unclassified	0.68
Seq_0001307	0.76	XIVa	0.85	Unclassified	0.68	Unclassified	0.24
Seq_0000914	0.73	XIVa	0.86	Unclassified	0.68	Unclassified	0.51
Seq_0000986	0.7	IV	0.87	Unclassified	0.68	Unclassified	0.68
Seq_0001609	0.83	XIVa	0.9	Unclassified	0.68	Unclassified	0.68
Seq_0001662	0.73	XIVa	0.99	Unclassified	0.68	Unclassified	0
Seq_0006312	0.71	NA	1	Unclassified	0.68	Unclassified	0.25
Seq_0002660	0.48	NA	1	Unclassified	0.68	Unclassified	0.43
Seq_0001323	0.45	NA	1	Unclassified	0.68	Unclassified	0.68
Seq_0001039	0.6	IV	1	Unclassified	0.68	Unclassified	0.68
Seq_0008777	0.65	NA	1	Unclassified	0.68	Unclassified	0.68
Seq_0001921	0.67	IV	1	Unclassified	0.68	Unclassified	0.68
Seq_0001086	0.85	XIVa	1	Unclassified	0.68	Unclassified	0.68
Seq_0005414	1	XIVa	1	Unclassified	0.68	Unclassified	0.68
Seq_0001428	0.77	Unclassified	0.69	Unclassified	0.69	Unclassified	0.69
Seq_0000611	0.84	Unclassified	0.74	Unclassified	0.69	Unclassified	0.6
Seq_0002524	1	NA	1	Unclassified	0.69	Unclassified	0.62
Seq_0003238	0.93	XIVa	1	Unclassified	0.69	Unclassified	0.69
Seq_0009168	0.59	Unclassified	0.39	Unclassified	0.7	Unclassified	0
Seq_0007500	0.66	Unclassified	0.51	Unclassified	0.7	Unclassified	0.32
Seq_0005401	0.66	Unclassified	0.7	Unclassified	0.7	Unclassified	0.7
Seq_0002217	0.67	Unclassified	0.7	Unclassified	0.7	Unclassified	0.7
Seq_0009059	0.58	IV	0.8	Unclassified	0.7	Unclassified	0.63
Seq_0002485	0.78	IV	0.8	Unclassified	0.7	Unclassified	0.7
Seq_0001440	0.72	NA	0.82	Unclassified	0.7	Unclassified	0.7
Seq_0005320	0.46	NA	0.84	Unclassified	0.7	Unclassified	0.7
Seq_0000369	0.65	NA	0.85	Unclassified	0.7	Unclassified	0.7
Seq_0002433	0.82	XIVa	0.86	Unclassified	0.7	Unclassified	0.23
Seq_0008623	0.52	NA	0.9	Unclassified	0.7	Unclassified	0.7
Seq_0000766	0.52	NA	0.95	Unclassified	0.7	Unclassified	0.45
Seq_0002513	0.69	NA	1	Unclassified	0.7	Unclassified	0.69
Seq_0006649	0.65	NA	1	Unclassified	0.7	Unclassified	0.7
Seq_0001108	0.67	NA	1	Unclassified	0.7	Unclassified	0.7
Seq_0002450	0.75	IV	1	Unclassified	0.7	Unclassified	0.7
Seq_0005921	0.85	NA	1	Unclassified	0.7	Unclassified	0.7
Seq_0002580	0.9	NA	1	Unclassified	0.7	Unclassified	0.7
Seq_0002813	0.73	Unclassified	0.71	Unclassified	0.71	Unclassified	0.71
Seq_0007443	0.79	Unclassified	0.71	Unclassified	0.71	Unclassified	0.71
Seq_0002211	0.75	Unclassified	0.77	Unclassified	0.71	Unclassified	0
Seq_0004672	0.69	Unclassified	0.77	Unclassified	0.71	Unclassified	0.71
Seq_0004056	0.86	XIVa	0.82	Unclassified	0.71	Unclassified	0.71
Seq_0002738	0.77	NA	0.84	Unclassified	0.71	Unclassified	0.71
Seq_0005541	0.61	NA	1	Unclassified	0.71	Unclassified	0.71
Seq_0000810	0.68	Unclassified	0.72	Unclassified	0.72	Unclassified	0.72
Seq_0000046	0.78	XIVa	0.83	Unclassified	0.72	Unclassified	0.32
Seq_0000191	0.64	IV	0.9	Unclassified	0.72	Unclassified	0.72
Seq_0004417	0.8	XIVa	0.93	Unclassified	0.72	Unclassified	0.72
Seq_0000410	0.84	XIVa	0.99	Unclassified	0.72	Unclassified	0.41
Seq_0000458	0.73	XIVa	1	Unclassified	0.72	Unclassified	0
Seq_0001655	0.79	XIVa	1	Unclassified	0.72	Unclassified	0
Seq_0001311	0.64	NA	1	Unclassified	0.72	Unclassified	0.4
Seq_0000912	0.58	NA	1	Unclassified	0.72	Unclassified	0.6
Seq_0001570	0.77	NA	1	Unclassified	0.72	Unclassified	0.62
Seq_0003951	0.56	NA	1	Unclassified	0.72	Unclassified	0.68
Seq_0002079	0.67	IV	1	Unclassified	0.72	Unclassified	0.72
Seq_0000695	0.73	IV	1	Unclassified	0.72	Unclassified	0.72
Seq_0003260	0.77	NA	1	Unclassified	0.72	Unclassified	0.72
Seq_0002689	0.73	Unclassified	0.46	Unclassified	0.73	Unclassified	0
Seq_0003594	0.56	Unclassified	0.73	Unclassified	0.73	Unclassified	0.73
Seq_0000844	0.73	Unclassified	0.75	Unclassified	0.73	Unclassified	0.59
Seq_0004575	0.7	NA	0.8	Unclassified	0.73	Unclassified	0.73
Seq_0002192	0.67	IV	0.84	Unclassified	0.73	Unclassified	0.73
Seq_0005589	0.68	NA	0.85	Unclassified	0.73	Unclassified	0.73
Seq_0001081	0.79	XIVa	0.86	Unclassified	0.73	Unclassified	0.05
Seq_0000903	0.73	XIVa	0.88	Unclassified	0.73	Unclassified	0.65
Seq_0000941	0.66	IV	0.91	Unclassified	0.73	Unclassified	0.73
Seq_0000905	0.64	NA	0.95	Unclassified	0.73	Unclassified	0.73
Seq_0000252	0.69	IV	0.98	Unclassified	0.73	Unclassified	0.73
Seq_0002915	0.8	XIVa	0.98	Unclassified	0.73	Unclassified	0.73
Seq_0000902	0.59	IV	1	Unclassified	0.73	Unclassified	0.33
Seq_0005717	0.61	IV	1	Unclassified	0.73	Unclassified	0.35
Seq_0001222	0.58	NA	1	Unclassified	0.73	Unclassified	0.38
Seq_0007643	0.73	NA	1	Unclassified	0.73	Unclassified	0.47
Seq_0006294	0.56	NA	1	Unclassified	0.73	Unclassified	0.73
Seq_0000873	0.79	XIVa	1	Unclassified	0.73	Unclassified	0.73
Seq_0003282	1	XIVa	1	Unclassified	0.73	Unclassified	0.73
Seq_0005342	0.68	Unclassified	0.75	Unclassified	0.75	Unclassified	0.75
Seq_0000675	0.64	IV	0.87	Unclassified	0.75	Unclassified	0.75
Seq_0005927	0.66	III	0.9	Unclassified	0.75	Unclassified	0.18
Seq_0005672	0.61	IV	0.9	Unclassified	0.75	Unclassified	0.25
Seq_0000519	0.63	IV	0.9	Unclassified	0.75	Unclassified	0.75
Seq_0008714	0.68	IV	0.95	Unclassified	0.75	Unclassified	0.75
Seq_0000961	0.97	XIVa	0.95	Unclassified	0.75	Unclassified	0.75
Seq_0000858	0.85	XIVa	0.97	Unclassified	0.75	Unclassified	0.75
Seq_0007732	1	NA	1	Unclassified	0.75	Unclassified	0
Seq_0005593	0.8	XIVa	1	Unclassified	0.75	Unclassified	0.41
Seq_0007812	0.48	NA	1	Unclassified	0.75	Unclassified	0.56
Seq_0002801	0.52	NA	1	Unclassified	0.75	Unclassified	0.75
Seq_0000343	0.92	NA	1	Unclassified	0.75	Unclassified	0.75
Seq_0000818	0.92	XIVa	1	Unclassified	0.75	Unclassified	0.75
Seq_0000094	0.94	NA	1	Unclassified	0.75	Unclassified	0.75
Seq_0001725	0.53	Unclassified	0.68	Unclassified	0.76	Unclassified	0.29
Seq_0003170	0.8	XIVa	0.92	Unclassified	0.76	Unclassified	0.74
Seq_0001008	0.86	XIVa	0.93	Unclassified	0.76	Unclassified	0.76
Seq_0000781	0.8	XIVa	0.96	Unclassified	0.76	Unclassified	0.26
Seq_0002267	0.88	XIVa	1	Unclassified	0.76	Unclassified	0.38
Seq_0005803	0.81	IV	1	Unclassified	0.76	Unclassified	0.76
Seq_0003840	0.7	Unclassified	0.73	Unclassified	0.77	Unclassified	0.73
Seq_0004807	0.69	Unclassified	0.77	Unclassified	0.77	Unclassified	0.77
Seq_0004378	0.77	Unclassified	0.77	Unclassified	0.77	Unclassified	0.77
Seq_0000060	0.86	XIVa	0.93	Unclassified	0.77	Unclassified	0.11
Seq_0006936	0.73	NA	0.97	Unclassified	0.77	Unclassified	0.77
Seq_0001274	0.53	NA	1	Unclassified	0.77	Unclassified	0.09
Seq_0000446	0.52	NA	1	Unclassified	0.77	Unclassified	0.77
Seq_0000162	0.71	IV	1	Unclassified	0.77	Unclassified	0.77
Seq_0003466	0.74	Unclassified	0.7	Unclassified	0.78	Unclassified	0.36
Seq_0000651	0.65	Unclassified	0.78	Unclassified	0.78	Unclassified	0.78
Seq_0002462	0.69	Unclassified	0.78	Unclassified	0.78	Unclassified	0.78
Seq_0001357	0.78	XIVa	0.9	Unclassified	0.78	Unclassified	0.11
Seq_0006417	0.67	IV	0.9	Unclassified	0.78	Unclassified	0.78
Seq_0000599	0.74	NA	0.92	Unclassified	0.78	Unclassified	0.78
Seq_0002599	0.74	XIVa	0.99	Unclassified	0.78	Unclassified	0
Seq_0001556	0.81	XIVa	1	Unclassified	0.78	Unclassified	0.23
Seq_0005081	0.83	XIVa	1	Unclassified	0.78	Unclassified	0.58
Seq_0004443	0.6	IV	1	Unclassified	0.78	Unclassified	0.78
Seq_0005124	0.69	IV	1	Unclassified	0.78	Unclassified	0.78
Seq_0007665	0.59	Unclassified	0.5	Unclassified	0.79	Unclassified	0.3
Seq_0002492	0.66	Unclassified	0.79	Unclassified	0.79	Unclassified	0.79
Seq_0002859	0.8	Unclassified	0.79	Unclassified	0.79	Unclassified	0.79
Seq_0005518	0.68	XIVa	0.86	Unclassified	0.79	Unclassified	0.6
Seq_0000268	0.74	XIVa	0.9	Unclassified	0.79	Unclassified	0.03
Seq_0001449	0.57	NA	1	Unclassified	0.79	Unclassified	0.41
Seq_0000601	0.58	NA	1	Unclassified	0.79	Unclassified	0.43
Seq_0004981	0.92	Unclassified	0.5	Anaerococcus	0.8	Unclassified	0.3
Seq_0006629	0.51	XIII	0.8	Unclassified	0.8	Unclassified	0.8
Seq_0001448	0.7	NA	0.8	Intestinimonas	0.8	Intestinimonas_butyriciproducens	0.8
Seq_0008424	0.78	IV	0.8	Eubacterium	0.8	Eubacterium_desmolans	0.8
Seq_0002503	0.79	IV	0.8	Eubacterium	0.8	Eubacterium_desmolans	0.8
Seq_0001569	0.65	NA	0.85	Unclassified	0.8	Unclassified	0
Seq_0003857	0.85	XIVa	0.85	Ruminococcus	0.8	Unclassified	0.65
Seq_0001663	0.73	XIVa	0.87	Clostridium	0.8	Unclassified	0
Seq_0001055	0.73	XIVa	0.87	Clostridium	0.8	Unclassified	0
Seq_0002375	0.73	XIVa	0.89	Clostridium	0.8	Unclassified	0.02
Seq_0000055	0.93	XIVa	0.9	Clostridium	0.8	Unclassified	0.7
Seq_0002754	0.67	IV	0.9	Unclassified	0.8	Unclassified	0.8
Seq_0004196	0.78	XIVa	0.96	Clostridium	0.8	Unclassified	0.5
Seq_0002306	0.83	XIVa	1	Clostridium	0.8	Unclassified	0.19
Seq_0002910	0.55	NA	1	Unclassified	0.8	Unclassified	0.28
Seq_0007904	0.56	NA	1	Unclassified	0.8	Unclassified	0.28
Seq_0005143	0.69	NA	1	Unclassified	0.8	Unclassified	0.34
Seq_0007087	0.52	NA	1	Unclassified	0.8	Unclassified	0.38
Seq_0007372	0.68	NA	1	Unclassified	0.8	Unclassified	0.45
Seq_0002081	0.59	NA	1	Unclassified	0.8	Unclassified	0.57
Seq_0010138	0.75	NA	1	Bacteroides	0.8	Unclassified	0.62
Seq_0010062	0.71	NA	1	Bacteroides	0.8	Unclassified	0.68
Seq_0005542	0.66	NA	1	Unclassified	0.8	Unclassified	0.74
Seq_0000952	1	NA	1	Klebsiella	0.8	Unclassified	0.74
Seq_0007116	0.75	NA	1	Bacteroides	0.8	Unclassified	0.77
Seq_0007763	0.71	NA	1	Bacteroides	0.8	Unclassified	0.78
Seq_0000745	1	NA	1	Citrobacter	0.8	Unclassified	0.79
Seq_0001167	0.53	NA	1	Unclassified	0.8	Unclassified	0.8
Seq_0000717	0.55	NA	1	Unclassified	0.8	Unclassified	0.8
Seq_0000188	0.56	NA	1	Unclassified	0.8	Unclassified	0.8
Seq_0002028	0.59	NA	1	Unclassified	0.8	Unclassified	0.8
Seq_0005220	0.68	NA	1	Unclassified	0.8	Unclassified	0.8
Seq_0000125	0.69	IV	1	Unclassified	0.8	Unclassified	0.8
Seq_0004679	0.85	XIVa	1	Ruminococcus	0.8	Ruminococcus_lactaris	0.8
Seq_0004802	0.93	NA	1	Gemmiger	0.8	Gemmiger_formicilis	0.8
Seq_0001264	0.85	XIVa	0.87	Clostridium	0.81	Unclassified	0.39
Seq_0000076	0.91	XIVa	0.9	Clostridium	0.81	Clostridium_hylemonae	0.81
Seq_0002151	0.79	NA	0.91	Intestinimonas	0.81	Intestinimonas_butyriciproducens	0.81
Seq_0000609	0.69	IV	0.94	Unclassified	0.81	Unclassified	0.81
Seq_0006536	0.66	IV	0.83	Unclassified	0.82	Unclassified	0.65
Seq_0003663	0.76	XIVa	0.84	Clostridium	0.82	Unclassified	0
Seq_0001032	0.81	XIVa	0.86	Clostridium	0.82	Unclassified	0
Seq_0004858	0.78	IV	0.87	Flavonifractor	0.82	Flavonifractor_plautii	0.82
Seq_0005348	0.82	XIVa	0.89	Clostridium	0.82	Unclassified	0.28
Seq_0003744	0.66	IV	0.9	Unclassified	0.82	Unclassified	0.82
Seq_0000566	0.67	IV	0.9	Unclassified	0.82	Unclassified	0.82
Seq_0004640	0.58	NA	1	Unclassified	0.82	Unclassified	0.24
Seq_0006435	0.39	NA	1	Unclassified	0.82	Unclassified	0.29
Seq_0003093	0.56	NA	1	Unclassified	0.82	Unclassified	0.82
Seq_0007128	0.69	IV	0.83	Unclassified	0.83	Unclassified	0.77
Seq_0008049	0.7	IV	0.83	Clostridium	0.83	Clostridium_methylpentosum	0.83
Seq_0001557	0.7	IV	0.83	Flavonifractor	0.83	Flavonifractor_plautii	0.83
Seq_0006826	0.96	XIVa	0.83	Eubacterium	0.83	Eubacterium_rectale	0.83
Seq_0000037	0.79	XIVa	0.85	Clostridium	0.83	Unclassified	0.4
Seq_0000138	0.85	XIVa	0.9	Clostridium	0.83	Unclassified	0.07
Seq_0002644	0.7	IV	0.91	Sporobacter	0.83	Sporobacter_termitidis	0.83
Seq_0001796	0.7	NA	0.93	Acetanaerobacterium	0.83	Acetanaerobacterium_elongatum	0.83
Seq_0007501	0.6	NA	1	Unclassified	0.83	Unclassified	0.73
Seq_0006916	0.53	NA	1	Unclassified	0.83	Unclassified	0.83
Seq_0001024	0.53	NA	1	Unclassified	0.83	Unclassified	0.83
Seq_0002696	0.76	XIVa	0.84	Clostridium	0.84	Unclassified	0.37
Seq_0001354	0.76	XIVa	0.9	Clostridium	0.84	Unclassified	0.2
Seq_0000249	0.86	XIVa	0.93	Ruminococcus	0.84	Ruminococcus_lactaris	0.84
Seq_0000972	0.88	XIVa	0.98	Clostridium	0.84	Unclassified	0.75
Seq_0004983	0.83	NA	1	Atopobium	0.84	Atopobium_vaginae	0.84
Seq_0000741	0.97	Unclassified	0.65	Roseburia	0.85	Unclassified	0.65
Seq_0001985	0.71	Unclassified	0.78	Clostridium	0.85	Unclassified	0.78
Seq_0001877	0.65	IV	0.82	Unclassified	0.85	Unclassified	0.7
Seq_0006599	0.69	NA	0.85	Unclassified	0.85	Unclassified	0.85
Seq_0000274	0.7	IV	0.85	Faecalibacterium	0.85	Faecalibacterium_prausnitzii	0.85
Seq_0001061	0.74	NA	0.85	Intestinimonas	0.85	Intestinimonas_butyriciproducens	0.85
Seq_0000680	0.82	IV	0.85	Flavonifractor	0.85	Flavonifractor_plautii	0.85
Seq_0006890	0.84	IV	0.85	Eubacterium	0.85	Eubacterium_desmolans	0.85
Seq_0000394	0.95	NA	0.85	Gemmiger	0.85	Gemmiger_formicilis	0.85
Seq_0001730	0.86	XIII	0.95	Anaerococcus	0.85	Anaerococcus_prevotii	0.85
Seq_0007043	0.9	XIVa	0.95	Eubacterium	0.85	Eubacterium_rectale	0.85
Seq_0005355	0.66	NA	1	Unclassified	0.85	Unclassified	0
Seq_0000332	1	NA	1	Citrobacter	0.85	Unclassified	0
Seq_0001828	0.66	NA	1	Unclassified	0.85	Unclassified	0.15
Seq_0005850	0.7	NA	1	Sutterella	0.85	Unclassified	0.4
Seq_0002373	0.71	NA	1	Sutterella	0.85	Unclassified	0.4
Seq_0005091	0.73	IV	1	Oscillibacter	0.85	Oscillibacter_valericigenes	0.85
Seq_0004916	0.91	XIVa	1	Clostridium	0.85	Clostridium_nexile	0.85
Seq_0003258	0.94	NA	1	Gemmiger	0.85	Gemmiger_formicilis	0.85
Seq_0004461	0.88	Unclassified	0.77	Ruminococcus	0.86	Unclassified	0.71
Seq_0005823	0.64	XI	0.84	Unclassified	0.86	Unclassified	0.84
Seq_0007764	0.73	NA	1	Bacteroides	0.86	Unclassified	0.71
Seq_0001178	0.81	IV	1	Oscillospira	0.86	Oscillospira_guilliermondii	0.86
Seq_0002635	0.67	Unclassified	0.44	Unclassified	0.87	Unclassified	0.32
Seq_0002113	0.77	Unclassified	0.75	Megasphaera	0.87	Unclassified	0.5
Seq_0004836	0.87	Unclassified	0.75	Ruminococcus	0.87	Unclassified	0.62
Seq_0006738	0.67	XI	0.83	Unclassified	0.87	Unclassified	0.83
Seq_0002899	0.67	XI	0.85	Unclassified	0.87	Unclassified	0.65
Seq_0007019	0.73	NA	0.87	Anaerotruncus	0.87	Anaerotruncus_colihominis	0.87
Seq_0001645	0.79	NA	0.87	Intestinimonas	0.87	Intestinimonas_butyriciproducens	0.87
Seq_0002976	0.86	XIVa	0.89	Clostridium	0.87	Unclassified	0.24
Seq_0002783	0.91	XIVa	0.97	Clostridium	0.87	Clostridium_nexile	0.87
Seq_0006007	0.79	XIVa	0.98	Clostridium	0.87	Unclassified	0.71
Seq_0005954	0.71	NA	1	Bacteroides	0.87	Unclassified	0
Seq_0004239	0.86	XIVa	1	Clostridium	0.87	Unclassified	0.14
Seq_0003470	1	NA	1	Enterobacter	0.87	Enterobacter_aerogenes	0.86
Seq_0004855	0.59	NA	1	Unclassified	0.87	Unclassified	0.87
Seq_0000247	0.91	XIVa	1	Clostridium	0.87	Clostridium_nexile	0.87
Seq_0001817	1	NA	1	Citrobacter	0.87	Citrobacter_koseri	0.87
Seq_0005818	0.68	Unclassified	0.47	Unclassified	0.88	Unclassified	0
Seq_0003315	0.88	XV	0.88	Eubacterium	0.88	Eubacterium_limosum	0.81
Seq_0000456	0.89	XIVa	0.89	Clostridium	0.88	Unclassified	0.63
Seq_0000906	0.9	XIVa	0.9	Clostridium	0.88	Unclassified	0.52
Seq_0003683	0.86	XIVa	1	Clostridium	0.88	Unclassified	0.28
Seq_0007529	0.61	NA	1	Unclassified	0.88	Unclassified	0.88
Seq_0006146	0.75	IV	1	Oscillibacter	0.88	Oscillibacter_valericigenes	0.88
Seq_0000908	0.88	XIVa	1	Ruminococcus	0.88	Ruminococcus_lactaris	0.88
Seq_0004878	0.66	Unclassified	0.6	Unclassified	0.89	Unclassified	0.55
Seq_0004982	0.64	Unclassified	0.65	Unclassified	0.89	Unclassified	0.56
Seq_0001887	0.7	IV	0.89	Flavonifractor	0.89	Flavonifractor_plautii	0.89
Seq_0000204	0.87	XIVa	0.9	Clostridium	0.89	Unclassified	0
Seq_0006205	0.88	XIVa	0.9	Clostridium	0.89	Unclassified	0.33
Seq_0003245	0.79	XIVa	0.91	Clostridium	0.89	Unclassified	0
Seq_0004062	0.85	XIVa	1	Clostridium	0.89	Unclassified	0.18
Seq_0006731	0.93	NA	1	Sphingomonas	0.89	Unclassified	0.53
Seq_0000725	0.95	XIVa	1	Dorea	0.89	Dorea_longicatena	0.89
Seq_0000392	0.98	Unclassified	0	Clostridium	0.9	Unclassified	0
Seq_0003450	0.69	Unclassified	0.68	Unclassified	0.9	Unclassified	0.18
Seq_0002807	0.73	Unclassified	0.75	Clostridium	0.9	Unclassified	0.75
Seq_0005441	0.64	XVIII	0.87	Unclassified	0.9	Unclassified	0.62
Seq_0007559	0.75	NA	0.9	Anaerofilum	0.9	Unclassified	0
Seq_0000426	0.88	XIVa	0.9	Clostridium	0.9	Unclassified	0
Seq_0003021	0.63	XVIII	0.9	Unclassified	0.9	Unclassified	0.75
Seq_0006184	0.67	IV	0.9	Unclassified	0.9	Unclassified	0.85
Seq_0001135	0.66	NA	0.9	Unclassified	0.9	Unclassified	0.9
Seq_0001042	0.73	IV	0.9	Faecalibacterium	0.9	Faecalibacterium_prausnitzii	0.9
Seq_0003812	0.74	IV	0.9	Flavonifractor	0.9	Flavonifractor_plautii	0.9
Seq_0006079	0.81	IV	0.9	Eubacterium	0.9	Eubacterium_desmolans	0.9
Seq_0006377	0.83	IV	0.9	Eubacterium	0.9	Eubacterium_desmolans	0.9
Seq_0001728	0.84	IV	0.9	Eubacterium	0.9	Eubacterium_desmolans	0.9
Seq_0000916	0.88	NA	0.9	Coprococcus	0.9	Coprococcus_comes	0.9
Seq_0002776	0.97	NA	0.9	Coprococcus	0.9	Coprococcus_comes	0.9
Seq_0006215	0.67	IV	0.92	Unclassified	0.9	Unclassified	0.9
Seq_0000811	0.95	XIVa	0.94	Eubacterium	0.9	Eubacterium_rectale	0.9
Seq_0007253	0.86	XIVa	0.98	Blautia	0.9	Blautia_schinkii	0.82
Seq_0005558	0.47	NA	1	Unclassified	0.9	Unclassified	0
Seq_0002522	0.7	NA	1	Sutterella	0.9	Unclassified	0.3
Seq_0001194	0.71	NA	1	Dialister	0.9	Unclassified	0.45
Seq_0002089	0.55	NA	1	Unclassified	0.9	Unclassified	0.5
Seq_0005228	0.57	NA	1	Unclassified	0.9	Unclassified	0.53
Seq_0003517	0.68	IV	1	Unclassified	0.9	Unclassified	0.6
Seq_0003458	0.66	NA	1	Unclassified	0.9	Unclassified	0.61
Seq_0008859	0.73	NA	1	Bacteroides	0.9	Unclassified	0.64
Seq_0003256	0.51	NA	1	Unclassified	0.9	Unclassified	0.65
Seq_0001209	0.64	NA	1	Unclassified	0.9	Unclassified	0.69
Seq_0009451	0.65	NA	1	Unclassified	0.9	Unclassified	0.69
Seq_0009590	0.72	NA	1	Bacteroides	0.9	Unclassified	0.69
Seq_0004509	0.74	NA	1	Bacteroides	0.9	Unclassified	0.7
Seq_0002626	0.48	NA	1	Unclassified	0.9	Unclassified	0.72
Seq_0004570	0.78	NA	1	Bacteroides	0.9	Unclassified	0.77
Seq_0009559	0.66	NA	1	Unclassified	0.9	Unclassified	0.78
Seq_0005787	0.63	NA	1	Unclassified	0.9	Unclassified	0.8
Seq_0002167	0.64	NA	1	Unclassified	0.9	Unclassified	0.8
Seq_0002051	0.69	IV	1	Unclassified	0.9	Unclassified	0.8
Seq_0006202	0.73	NA	1	Bacteroides	0.9	Bacteroides_uniformis	0.8
Seq_0002301	0.98	NA	1	Escherichia/Shigella	0.9	Escherichia/Shigella_coli	0.8
Seq_0009279	0.61	NA	1	Unclassified	0.9	Unclassified	0.87
Seq_0004349	0.69	NA	1	Unclassified	0.9	Unclassified	0.87
Seq_0008917	0.5	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0001753	0.54	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0001148	0.57	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0000641	0.6	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0006928	0.65	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0002877	0.65	NA	1	Unclassified	0.9	Unclassified	0.9
Seq_0001881	0.67	IV	1	Unclassified	0.9	Unclassified	0.9
Seq_0001052	0.7	IV	1	Oscillibacter	0.9	Oscillibacter_valericigenes	0.9
Seq_0009372	0.71	NA	1	Gemmiger	0.9	Gemmiger_formicilis	0.9
Seq_0009359	0.77	NA	1	Coprobacillus	0.9	Coprobacillus_cateniformis	0.9
Seq_0000962	0.82	NA	1	Streptobacillus	0.9	Streptobacillus_moniliformis	0.9
Seq_0001751	0.91	NA	1	Gemmiger	0.9	Gemmiger_formicilis	0.9
Seq_0000943	0.97	XIVa	1	Clostridium	0.9	Clostridium_glycyrrhizinilyticum	0.9
Seq_0005438	0.98	NA	1	Massilia	0.9	Massilia_alkalitolerans	0.9
Seq_0003086	0.9	NA	0.9	Clostridium	0.91	Clostridium_ruminantium	0.9
Seq_0004814	0.74	NA	0.91	Intestinimonas	0.91	Intestinimonas_butyriciproducens	0.91
Seq_0000122	0.86	XIVa	1	Clostridium	0.91	Unclassified	0.26
Seq_0001336	0.57	NA	1	Unclassified	0.91	Unclassified	0.51
Seq_0003175	0.49	NA	1	Unclassified	0.91	Unclassified	0.6
Seq_0004042	1	NA	1	Pseudoclavibacter	0.91	Unclassified	0.77
Seq_0000151	0.93	NA	0.9	Clostridium	0.92	Clostridium_ruminantium	0.85
Seq_0000294	0.86	XIVa	0.92	Clostridium	0.92	Unclassified	0.4
Seq_0005109	0.7	IV	0.92	Flavonifractor	0.92	Flavonifractor_plautii	0.92
Seq_0002124	0.77	NA	0.92	Oribacterium	0.92	Oribacterium_sinus	0.92
Seq_0000161	1	NA	0.92	Roseburia	0.92	Roseburia_faecis	0.92
Seq_0003925	0.66	NA	0.95	Unclassified	0.92	Unclassified	0.92
Seq_0001775	0.88	XIVa	1	Clostridium	0.92	Unclassified	0.13
Seq_0000701	0.6	NA	1	Unclassified	0.92	Unclassified	0.15
Seq_0001023	0.56	NA	1	Unclassified	0.92	Unclassified	0.23
Seq_0002014	0.78	NA	1	Parabacteroides	0.92	Unclassified	0.27
Seq_0005154	0.86	XIVa	1	Clostridium	0.92	Unclassified	0.31
